Ukraine,UKR,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.78097561
Upper middle income,UMC,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.52253325
Uruguay,URY,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.632
United States,USA,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.53902439
Uzbekistan,UZB,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.388
St. Vincent and the Grenadines,VCT,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.3
Venezuela RB,VEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.246
British Virgin Islands,VGB,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Virgin Islands (U.S.),VIR,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.4195122
Vietnam,VNM,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.241
Vanuatu,VUT,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.172
World,WLD,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.38300866
Samoa,WSM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.046
Kosovo,XKX,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.94634146
Yemen Rep.,YEM,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.086
South Africa,ZAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.538
Zambia,ZMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.043
Zimbabwe,ZWE,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.812
